numeric__CreditScore,numeric__Age,numeric__Tenure,numeric__Balance,numeric__NumOfProducts,numeric__HasCrCard,numeric__IsActiveMember,numeric__EstimatedSalary,categorical__Geography_Germany,categorical__Geography_Spain,categorical__Gender_Male
-0.2327297,-0.53467226,-0.24893592,-0.4004084,-1.3713856,0.0019237143,-0.38490102,-0.039036166,-0.17843764,-0.23680598,-0.54843676
0.14681497,-1.0059389,-0.26792672,-0.32199904,0.22808938,0.009349379,0.2979098,-0.16029797,-0.4331544,-0.10136527,-0.41506678
-0.019010015,-0.7200233,-0.49814796,0.23910749,-0.7853907,-0.010043973,0.24140427,0.048850283,-0.32846597,-0.10234715,0.15508987
-0.02821069,-0.620657,-0.19875138,-0.19346143,-1.2389214,-0.0058652605,0.26976737,0.024113573,-0.14081009,-0.23175499,0.2957258
-0.050166212,1.3288645,-0.33143407,0.14348446,0.29660994,0.00078773755,-0.57458997,0.03314451,0.6313727,0.024862282,-0.34724545
-0.13009536,0.91102695,-0.32928395,0.20078614,-0.76591265,-0.013201935,-0.4040295,-0.08837665,-0.33894813,-0.036684792,0.099562295
0.032070924,-0.8358367,-0.2523652,-0.20095132,0.11996452,-0.0019277007,-0.37828702,-0.0932519,-0.2515976,-0.09247787,0.11138172
-0.16868377,-0.17428592,-0.35210517,-0.5112594,2.4528902,-0.0014025972,-0.8096513,-0.043952975,-0.14647742,-0.032756127,-0.4409733
0.13883254,-1.0782328,-0.3970289,-0.13116711,0.15767285,-0.00026248425,-0.37077764,-0.07744927,-0.47262332,-0.018887999,-0.39246035
-0.109361194,-0.848268,-0.21161367,-0.1849463,-1.0897455,0.024439167,0.29600298,-0.24705039,0.03805872,-0.07077547,-0.41404605
0.13746871,-0.11344098,-0.31855533,0.48166952,0.2122811,0.0030258338,0.4114825,0.045100093,-0.1481391,-0.10828727,-0.42376652
0.07108644,-0.18971819,-0.27092147,-0.2653915,0.1948291,-0.0014369437,-0.4320133,-0.08046206,-0.42532545,-0.24951729,-0.42466944
0.008417413,-1.2257842,-0.19312306,0.11137101,0.5242127,0.004611019,0.30710864,-0.44604844,-0.1754577,0.19465443,0.08091588
0.02497788,-1.2509246,-0.47919568,-0.42071247,-1.4349167,-0.03673602,0.23422492,0.041298628,-0.23835054,-0.106930844,-0.4829337
0.09319324,1.1476697,-0.39485157,0.18894209,0.4812606,0.01939219,-0.7338951,-0.04047897,-0.1903367,-0.35129067,-0.34158495
0.08473993,-0.47253042,-0.4236204,-0.433619,-1.482986,0.010718501,0.2954118,0.08378617,-0.19281936,-0.06974653,-0.44007137
-0.003057579,-0.7075361,-0.4041669,0.2703842,-0.8931435,0.0032524758,0.33049068,-0.011050079,-0.3123653,-0.07898212,-0.45606577
-0.0071942355,2.0647748,-0.4039574,0.13792725,0.5226532,0.002458574,0.7102139,-0.003664916,-0.14602964,-0.04869026,-0.32046098
0.059097067,-0.12237278,-0.17569506,-0.04098121,0.22963196,-0.0021994717,-0.38672543,0.09323107,-0.470744,-0.0266286,-0.46098822
0.07394057,1.3856732,-0.17730616,0.14069587,0.44542316,-0.0020485881,-0.5466487,-0.06634742,-0.19587956,-0.027612658,0.033510283
-0.09233314,0.035968404,-0.23464127,-0.031007389,0.22616516,-0.0051418063,-0.45809639,-0.089716926,-0.47226655,-0.0122795105,-0.5259516
0.43193653,-0.57554793,-0.2524302,0.21484658,0.529739,0.00010732327,-0.3230731,-0.09971341,-0.21557626,-0.1753628,-0.3439145
-0.0033586062,1.7321172,-0.19206391,-0.1553695,0.20032918,0.00313989,0.58964676,0.10965772,-0.20329654,-0.048551094,-0.35750663
0.13333423,-0.1981642,-0.27235448,-0.3315222,-1.3528066,0.019992022,-0.272075,0.22328536,-0.16801038,-0.037599307,0.21205293
-0.007931666,0.792714,-0.16736467,0.28629053,-0.85503846,0.0022809634,-0.92132425,-0.00891673,-0.09820885,-0.07265785,0.076590076
-0.0039970875,-0.9448188,-0.23048723,-0.38245755,-1.2621773,-0.0033772367,-0.24974638,0.059668373,-0.14655389,-0.08388935,0.15837632
0.05458371,-1.0908995,-0.25901446,-0.31198597,0.18575382,-0.00958261,0.3289691,-0.008836027,-0.2855169,-0.044271663,-0.48780093
-0.021083824,-0.43569613,-0.042549487,-0.33593652,-1.1498728,0.012884203,-0.14048895,-0.08324446,-0.17446733,-0.11771219,0.22487274
-0.13177593,-0.20335667,-0.51167524,0.23421215,0.52928674,0.0025621753,0.376009,-0.006065126,-0.18767191,-0.014905269,-0.5833875
0.016114809,-0.6933367,-0.25718957,0.36276004,-0.95779216,-0.0020253204,-0.27221492,0.021946922,0.3961994,-0.05201202,0.17546667
-0.049046826,-0.17217612,-0.2905006,0.16361125,0.55690753,-0.00085067976,-0.4247459,-0.055411972,-0.20746602,-0.019349858,-0.52130854
0.015030856,-1.2197214,-0.2220714,-0.47649732,-1.2501383,-0.0022762823,0.27200505,0.136759,-0.1493318,-0.0537392,0.16648987
-0.0038346387,-1.2720215,-0.20128459,-0.20381746,0.16132025,-0.0072174743,-0.3244839,-0.0473332,-0.27498326,-0.10122939,0.09204852
-0.099440925,-1.391715,-0.15150046,-0.36505812,-1.2440813,0.004925605,0.23283911,0.096966036,-0.16232418,-0.08147682,0.1989541
0.19961706,-1.5396833,-0.33328912,-0.3436082,-1.0947355,-0.0013074704,-0.5884719,-0.1315535,-0.16681297,-0.031630684,0.10771507
0.0010226928,-0.40270123,-0.38634706,-0.40399128,-1.4909118,0.006371228,0.29204106,0.073464416,-0.1952324,-0.062366854,-0.5275654
0.040447384,-1.4049704,-0.42069605,0.20163529,0.35707074,0.0054847263,0.32286525,-0.018513776,0.6581522,-0.073776215,-0.31056795
0.033823933,-0.68700135,-0.4815894,-0.3509223,-1.3080004,0.0139826825,0.24428307,-0.019728053,-0.16563599,-0.08336517,0.19071108
-0.5847145,1.9332439,-0.366569,-0.2879513,0.20467557,-0.0064934217,0.63781846,0.07136934,-0.33325994,-0.00082985515,0.1349721
0.017723707,-0.65999883,-0.40853146,-0.32466578,-1.2475843,-0.0100158295,-0.20349155,0.0052795764,-0.18523045,-0.09191676,0.1554859
0.12997352,-1.1004936,-0.2687623,0.15017605,0.3302916,-0.0060104453,-0.2900289,0.13839127,0.587759,-0.058009792,0.049297296
-0.0008216944,-0.49909946,-0.44261476,-0.3086151,-1.2220657,-0.0063131787,-0.26692495,0.020164585,-0.17103289,-0.04378718,0.18059546
-0.4674219,-1.0781866,-0.50626653,-0.3295022,-1.4374138,0.0091046365,-0.31987855,0.09531914,-0.23413359,-0.0905302,-0.54300267
0.114644974,-0.6766928,-0.34238023,-0.4261713,-1.46849,0.00891592,0.24456955,-0.044320162,-0.18119475,-0.053494476,-0.4568618
0.044288516,0.7726807,-0.42972937,0.17350812,-0.8515401,-0.0014811957,-0.97595465,-0.015562935,-0.14095047,-0.0842636,-0.41365075
-0.18051009,-1.118752,-0.43228126,0.3651548,-0.78554535,0.009401501,0.29996082,-0.40732813,-0.3171599,0.2858872,-0.45019147
0.03576767,-0.7299028,-0.39590326,-0.38707307,-1.3988659,-0.0009959444,0.28153262,-0.04242776,-0.18845238,-0.071405314,-0.46353152
-0.25951684,-0.30235574,-0.2872108,0.2740705,-0.74625736,-0.0013541216,-0.33737925,0.039768834,-0.28725004,-0.14775671,0.22336927
0.068382226,0.6208375,-0.43844846,0.18816702,0.25626647,-0.0010376823,-0.89918464,-0.09415736,0.54157645,0.0094878,0.13146758
-0.29338068,-1.1886377,-0.314405,0.23730382,-0.9089537,-0.01968132,0.32617307,0.031930067,-0.33276707,-0.11085925,-0.43916026
0.061304245,-1.032514,-0.35778144,-0.07440778,0.29694104,-0.0049120635,-0.35627776,-0.071222045,0.43490905,-0.059994943,0.068611175
-0.00471408,-0.44744888,-0.36628503,-0.4191355,-1.5114402,0.014297377,0.26853895,0.069717824,-0.2269823,-0.06848224,-0.5033345
-0.03489721,-1.2876308,-0.516045,0.118737504,-0.797517,0.00081210193,0.23734273,0.08348045,-0.2928206,-0.11540934,0.12793615
-0.49441433,-1.1211246,-0.5142125,-0.42906475,-1.3895396,-0.024417805,-0.23912108,-0.51616746,-0.22493131,-0.14944416,-0.50472677
-0.207784,1.4283707,-0.24422878,-0.043366365,0.20338674,0.0002782789,-0.6824056,-0.026924275,-0.49845022,-0.0013777844,-0.44392386
0.06343017,-0.23686081,-0.34297764,0.11636241,0.38792485,-0.012098337,0.28574616,-0.018084742,0.62870276,-0.025742225,-0.38322908
-0.029933024,0.494411,-0.2694237,-0.16259086,0.1647883,0.002008782,0.4206912,-0.06559884,-0.22816098,-0.14873911,0.05127371
0.04811428,-1.7624053,-0.43311322,0.39263177,-1.0035412,0.0032138352,0.2519172,-0.0007047482,0.324108,-0.12246738,0.065406874
0.026241265,-1.0876606,-0.39940977,0.16715923,0.31435555,-0.0007355909,-0.32634115,-0.03224308,0.6416262,-0.059383508,0.09563617
-0.45267048,-1.2673677,-0.14577731,-0.009260785,-0.8812113,-0.011752572,0.35223326,-0.00063971896,-0.27289256,-0.10877283,-0.4238016
0.037352066,-0.36036476,-0.23943792,0.02981664,-1.1456134,0.008052948,-0.3204351,0.005009403,-0.18986703,-0.07678993,-0.54989916
